Time,X,Y,Z
1718247411.8884149,-0.0029671143274754286,-2.3769686222076416,-2.8784101009368896
1718247411.9886196,-0.002733849920332432,-2.377793073654175,-2.878993272781372
1718247412.089142,-0.002970929490402341,-2.3773884773254395,-2.878788948059082
1718247412.1898186,-0.0028703364077955484,-2.3780572414398193,-2.879502296447754
1718247412.290243,-0.002980816178023815,-2.37729811668396,-2.878755807876587
1718247412.3907702,-0.0030168509110808372,-2.3766000270843506,-2.877721071243286
1718247412.4914186,-0.0028758549597114325,-2.375925064086914,-2.876685380935669
1718247412.591928,-0.002773933345451951,-2.374760627746582,-2.875558853149414
1718247412.692486,-0.0030051404610276222,-2.3743929862976074,-2.8750452995300293
1718247412.7931366,-0.00298166461288929,-2.375072956085205,-2.8756420612335205
1718247412.8936472,-0.0028278555255383253,-2.3747434616088867,-2.8755791187286377
1718247412.9940138,-0.0029463469982147217,-2.3743104934692383,-2.8749637603759766
1718247413.0946867,-0.0030646389350295067,-2.3730454444885254,-2.8734686374664307
1718247413.1950784,-0.0029533153865486383,-2.3726534843444824,-2.8728601932525635
1718247413.2954133,-0.002933904528617859,-2.372140884399414,-2.8724071979522705
1718247413.4338644,-0.0030202865600585938,-2.3717634677886963,-2.8720052242279053
1718247413.534633,-0.0029182631988078356,-2.372105836868286,-2.872586488723755
1718247413.635194,-0.0029765998478978872,-2.372711658477783,-2.873025894165039
1718247413.7353878,-0.0030469843186438084,-2.372999906539917,-2.873262643814087
1718247413.8359911,-0.0027458928525447845,-2.373538017272949,-2.8741211891174316
1718247413.9365745,-0.002973417518660426,-2.3738598823547363,-2.8742945194244385
1718247414.0371063,-0.00295079848729074,-2.3732571601867676,-2.873495578765869
1718247414.1377609,-0.003012640867382288,-2.3729846477508545,-2.873528003692627
1718247414.2384095,-0.0030205356888473034,-2.3729066848754883,-2.873181104660034
1718247414.3390512,-0.002798599423840642,-2.3727362155914307,-2.8731167316436768
1718247414.4397962,-0.0029676177073270082,-2.372716188430786,-2.8728413581848145
1718247414.5400755,-0.0030232707504183054,-2.3738772869110107,-2.8747401237487793
1718247414.6404738,-0.002934637712314725,-2.3742573261260986,-2.8751118183135986
1718247414.7414374,-0.0029473048634827137,-2.3740487098693848,-2.8745994567871094
1718247414.8418658,-0.0028715820517390966,-2.373659610748291,-2.8743984699249268
1718247414.9423366,-0.0028736568056046963,-2.3739099502563477,-2.874746084213257
1718247415.042854,-0.002739843213930726,-2.3745994567871094,-2.8752241134643555
1718247415.1434598,-0.0028882392216473818,-2.374985456466675,-2.8757054805755615
1718247415.24413,-0.0029340763576328754,-2.3743700981140137,-2.875049114227295
1718247415.3444595,-0.0027188598178327084,-2.3736040592193604,-2.87410831451416
1718247415.4452524,-0.0029124710708856583,-2.372979164123535,-2.8731749057769775
1718247415.545597,-0.0028502140194177628,-2.372391700744629,-2.8726866245269775
1718247415.6459358,-0.002896768506616354,-2.3722572326660156,-2.872511148452759
1718247415.746185,-0.003029824001714587,-2.372236490249634,-2.872570753097534
1718247415.8464887,-0.0031001034658402205,-2.3715505599975586,-2.871710777282715
1718247415.9470377,-0.0029638316482305527,-2.372258424758911,-2.8723671436309814
1718247416.0478845,-0.002966210013255477,-2.3721694946289062,-2.87241530418396
1718247416.1490817,-0.0029707832727581263,-2.3722422122955322,-2.872559070587158
1718247416.2491746,-0.002603295724838972,-2.372561454772949,-2.873134136199951
1718247416.350167,-0.002748357830569148,-2.3730504512786865,-2.873332977294922
1718247416.4506357,-0.0030018759425729513,-2.373906135559082,-2.8743276596069336
1718247416.5512426,-0.0029868786223232746,-2.3742308616638184,-2.874631643295288
1718247416.6516347,-0.0029940614476799965,-2.3745505809783936,-2.8751580715179443
1718247416.7519362,-0.003036923473700881,-2.373912811279297,-2.8745806217193604
1718247416.8524072,-0.002945956541225314,-2.3749053478240967,-2.8758111000061035
1718247416.9527268,-0.002903779735788703,-2.3749163150787354,-2.875786304473877
1718247417.0531669,-0.002925101201981306,-2.374669075012207,-2.8754632472991943
1718247417.1539328,-0.0030090752989053726,-2.3745827674865723,-2.8753130435943604
1718247417.254341,-0.00290790107101202,-2.37488055229187,-2.8755974769592285
1718247417.3546734,-0.0028687913436442614,-2.374371290206909,-2.875122547149658
1718247417.45519,-0.0027071048971265554,-2.374143362045288,-2.8747828006744385
1718247417.5559008,-0.002998755779117346,-2.373533010482788,-2.8738772869110107
1718247417.656436,-0.0029907384887337685,-2.374300956726074,-2.8748912811279297
