Timestamp,X,Z
17:06:45:435,-12.369421786732143,42.897327740987144
17:06:45:474,-12.369421786732143,42.897327740987144
17:06:45:513,-12.369421786732143,42.897327740987144
17:06:45:553,-12.369421786732143,42.897327740987144
17:06:45:595,-12.369421786732143,42.897327740987144
17:06:45:638,-12.369421786732143,42.897327740987144
17:06:45:682,-12.369421786732143,42.897327740987144
17:06:45:727,-12.369421786732143,42.897327740987144
17:06:45:775,-12.369421786732143,42.897327740987144
17:06:45:828,-12.369421786732143,42.897327740987144
17:06:45:880,-12.369421786732143,42.897327740987144
17:06:45:931,-12.369421786732143,42.897327740987144
17:06:45:984,-12.369421786732143,42.897327740987144
17:06:46:038,-12.369421786732143,42.897327740987144
17:06:46:096,-12.369421786732143,42.897327740987144
17:06:46:156,-12.369421786732143,42.897327740987144
17:06:46:217,-12.369421786732143,42.897327740987144
17:06:46:279,-12.369421786732143,42.897327740987144
17:06:46:343,-12.369421786732143,42.897327740987144
17:06:46:407,-12.369421786732143,42.897327740987144
17:06:46:475,-12.369421786732143,42.897327740987144
17:06:46:543,-12.369421786732143,42.897327740987144
17:06:46:612,-12.369421786732143,42.897327740987144
17:06:46:684,-12.369421786732143,42.897327740987144
17:06:46:754,-12.369421786732143,42.897327740987144
17:06:46:828,-12.369421786732143,42.897327740987144
17:06:46:904,-12.369421786732143,42.897327740987144
17:06:46:979,-12.369421786732143,42.897327740987144
17:06:47:056,-12.369421786732143,42.897327740987144
17:06:47:140,-12.369421786732143,42.897327740987144
17:06:47:220,-12.369421786732143,42.897327740987144
17:06:47:304,-12.369421786732143,42.897327740987144
17:06:47:388,-12.369421786732143,42.897327740987144
17:06:47:572,-12.369421786732143,42.897327740987144
17:06:47:657,-12.369421786732143,42.897327740987144
17:06:47:745,-12.369421786732143,42.897327740987144
17:06:47:837,-12.369421786732143,42.897327740987144
17:06:47:930,-12.369421786732143,42.897327740987144
17:06:48:024,-12.369421786732143,42.897327740987144
17:06:48:115,-12.369421786732143,42.897327740987144
17:06:48:209,-12.369421786732143,42.897327740987144
17:06:48:308,-12.369421786732143,42.897327740987144
17:06:48:405,-12.369421786732143,42.897327740987144
17:06:48:505,-12.369421786732143,42.897327740987144
17:06:48:606,-12.369421786732143,42.897327740987144
17:06:48:706,-12.369421786732143,42.897327740987144
17:06:48:811,-12.369421786732143,42.897327740987144
17:06:48:919,-12.369421786732143,42.897327740987144
17:06:49:024,-12.369421786732143,42.897327740987144
17:06:49:133,-12.369421786732143,42.897327740987144
17:06:49:243,-12.369421786732143,42.897327740987144
17:06:49:354,-12.369421786732143,42.897327740987144
17:06:49:470,-12.369421786732143,42.897327740987144
17:06:49:583,-12.369421786732143,42.897327740987144
17:06:49:701,-12.369421786732143,42.897327740987144
17:06:49:827,-12.369421786732143,42.897327740987144
17:06:49:946,-12.369421786732143,42.897327740987144
17:06:50:074,-12.369421786732143,42.897327740987144
17:06:50:199,-12.369421786732143,42.897327740987144
17:06:50:330,-12.369421786732143,42.897327740987144
17:06:50:458,-12.369421786732143,42.897327740987144
17:06:50:583,-12.369421786732143,42.897327740987144
17:06:50:712,-12.369421786732143,42.897327740987144
17:06:50:866,-12.369421786732143,42.897327740987144
17:06:50:998,-12.369421786732143,42.897327740987144
17:06:51:132,-12.369421786732143,42.897327740987144
17:06:51:269,-12.369421786732143,42.897327740987144
17:06:51:403,-12.369421786732143,42.897327740987144
17:06:51:541,-12.369421786732143,42.897327740987144
17:06:51:683,-12.369421786732143,42.897327740987144
17:06:51:832,-12.369421786732143,42.897327740987144
17:06:51:974,-12.369421786732143,42.897327740987144
17:06:52:124,-12.369421786732143,42.897327740987144
17:06:52:269,-12.369421786732143,42.897327740987144
17:06:52:425,-12.369421786732143,42.897327740987144
17:06:52:579,-12.369421786732143,42.897327740987144
17:06:52:731,-12.369421786732143,42.897327740987144
17:06:52:888,-12.369421786732143,42.897327740987144
17:06:53:046,-12.369421786732143,42.897327740987144
17:06:53:217,-12.369421786732143,42.897327740987144
17:06:53:414,75.05637639098697,-132.8378955523173
17:06:53:579,82.64228933387332,-141.42321745554605
17:06:53:746,80.44929736190372,-157.19234148661295
17:06:53:909,70.65050833755069,-155.02962271372476
17:06:54:073,60.73619955115848,-160.9468142191569
17:06:54:236,49.62921970420413,-166.65205160776773
17:06:54:407,40.76641433768802,-174.91525808970133
17:06:54:575,37.5905477338367,-183.33317438761392
17:06:54:764,38.722398214870026,-194.43630377451578
17:06:54:934,42.42303007178836,-205.3898255030314
17:06:55:116,44.570221834712555,-214.30145899454752
17:06:55:294,44.58563559585147,-219.78599230448404
